Data Subset,Model Type,Predictors Subset,Target Variable,Highest Importance,2nd Highest Importance,3rd Highest Importance,Min Kappa,Max Kappa,Min Accuracy,Max Accuracy,Min Sensitivity,Max Sensitivity,Min Specificity,Max Specificity,Kappa Range
All,LASSO,All,Degree of Injury,Road Surface: Unknown,Road Surface: Ice,Drugs Involved,0.0086,0.0173,0.8476,0.8486,0.0069,0.0121,0.9976,0.9986,0.0087
All,LASSO,All,Fatal vs Non-Fatal,Drugs Involved,Crash Speed Involved,Alcohol Involved,0.0715,0.1439,0.9958,0.9963,0.0405,0.0811,0.9995,0.9998,0.0724
All,LASSO,All,Injured vs Non-Injured,Road Surface: Unknown,Road Surface: Ice,Drugs Involved,0.0984,0.109,0.5546,0.5603,0.4128,0.4233,0.6741,0.6895,0.0106
All,LASSO,Infrastructural,Degree of Injury,NA,NA,NA,0,0,0.8481,0.8481,0,0,1,1,0
All,LASSO,Infrastructural,Fatal vs Non-Fatal,NA,NA,NA,0,0,0.9961,0.9961,0,0,1,1,0
All,LASSO,Infrastructural,Injured vs Non-Injured,Infrastructure Present,Bike Lane,Speed Limit,4.00E-04,0.0134,0.521,0.5256,0.0571,0.0992,0.9129,0.9433,0.013
All,Logistic,All,Degree of Injury,Marijuana Involved,Alcohol Involved,Crash Speed Involved,0.0096,0.0176,0.8476,0.8485,0.0076,0.0121,0.9973,0.9984,0.008
All,Logistic,All,Fatal vs Non-Fatal,Drugs Involved,Crash Speed Involved,Alcohol Involved,0.092,0.183,0.9959,0.9963,0.0541,0.1081,0.9996,0.9998,0.091
All,Logistic,All,Injured vs Non-Injured,Marijuana Involved,Hit and Run,Speed Limit,0.1014,0.1099,0.5558,0.5605,0.4201,0.4327,0.6677,0.6842,0.0085
All,Logistic,Infrastructural,Degree of Injury,Infrastructure Present,Total Watts,Bike Lane,0,0,0.8481,0.8481,0,0,1,1,0
